source,source_url,root_url,base_url,name,generator,status_code,api_base_url,site_title,version,locale,extensions,source_or_base,package_list_count,package_list_source_base_or_apibase,tag_list_count,tag_list_source_base_or_apibase,organization_list_count,organization_list_source_base_or_apibase,oldest_metadata_created_date,most_recent_update_date,dates_source_base_or_apibase
datashades.info,http://dados.df.gov.br,dados.df.gov.br,http://dados.df.gov.br,Connection Error,,200,,,,,,,,,,,,,,,
datashades.info,https://ckan.jbrj.gov.br,ckan.jbrj.gov.br,https://ckan.jbrj.gov.br,Bem vindo - Dados Abertos do Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,,200,https://ckan.jbrj.gov.br,Dados Abertos do Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,2.9.5,pt_BR,"['resource_proxy', 'datastore', 'stats']",source,39,source_url,148,source_url,7,source_url,2015-09-21 12:42:39.419931,2023-02-06 10:02:07.353955,source_url
datashades.info,https://data.bart.gov,data.bart.gov,https://data.bart.gov,Reports | bart.gov,,200,,,,,,,,,,,,,,,
datashades.info,https://opendata.plzen.eu,opendata.plzen.eu,https://opendata.plzen.eu,Opendata,,200,,,,,,,,,,,,,,,
datashades.info,http://ckan.gsi.go.jp,ckan.gsi.go.jp,http://ckan.gsi.go.jp,Connection Error,,200,,,,,,,,,,,,,,,
datashades.info,https://data.nbco.gov.ie,data.nbco.gov.ie,https://data.nbco.gov.ie,NBCOMSO Data Catalog - CKAN,,200,https://data.nbco.gov.ie,CKAN,2.9.8,en,"['sqlalchemythread', 'uwsgistats', 'stats', 'text_view', 'image_view', 'recline_view', 'officedocs_view', 'dcat', 'dcat_json_interface', 'scheming_datasets', 'spatial_metadata', 'spatial_query', 'harvest', 'ckan_harvester', 'csw_harvester', 'waf_harvester', 'doc_harvester', 'datatables_view', 'nbcotheme', 'datastore', 'datapusher']",source,2,source_url,0,source_url,1,source_url,2020-11-12 11:39:11.819577,2023-07-05 23:00:41.242321,source_url
datashades.info,https://data.gov.mk,data.gov.mk,https://data.gov.mk,Добродојдовте - datagovmk,,200,https://data.gov.mk,datagovmk,2.9.4,mk,"['qa', 'archiver', 'validation', 'datagovmk', 'report', 'disqus', 'stats', 'text_view', 'image_view', 'odata', 'dataexplorer', 'datastore', 'datapusher', 'spatial_metadata', 'spatial_query', 'harvest', 'dcat', 'dcat_json_interface', 'structured_data', 'c3charts', 'googleanalytics', 'pages', 'likes', 'requestdata', 'scheming_datasets', 'scheming_organizations', 'scheming_groups', 'repeating', 'mk_dcatap', 'organogram', 'experience', 'showcase', 'issues', 'fluent', 'datarequests']",source,635,source_url,505,source_url,,,2018-09-26 08:28:47.722059,2023-06-27 08:33:33.358410,source_url
datashades.info,https://data.imr.gov.ua,data.imr.gov.ua,https://data.imr.gov.ua,Connection Error,,200,,,,,,,,,,,,,,,
datashades.info,http://dados.cvm.gov.br,dados.cvm.gov.br,http://dados.cvm.gov.br,Bem vindo - Portal Dados Abertos CVM,,200,https://dados.cvm.gov.br,Portal Dados Abertos CVM,2.9.5,pt_BR,"['stats', 'pages', 'googleanalytics']",source,43,source_url,4,source_url,1,source_url,2017-03-09 20:10:13.937042,2023-07-06 11:00:22.014950,source_url
datashades.info,http://data.techno-science.ca,data.techno-science.ca,http://data.techno-science.ca,Connection Error,,200,,,,,,,,,,,,,,,
datashades.info,http://data.ok.gov,data.ok.gov,http://data.ok.gov,Welcome - Oklahoma's Open Data,,200,https://data.ok.gov,Oklahoma's Open Data,2.7.12,en,"['stats', 'resource_proxy', 'viewhelpers', 'ags_fs_view', 'ags_ms_view', 'barchart', 'basicgrid', 'linechart', 'piechart', 'geo_view', 'geojson_view', 'shp_view', 'c3charts', 'datatables_view', 'image_view', 'officedocs_view', 'pdf_view', 'recline_map_view', 'webpage_view', 'cloudstorage', 'odata', 'opengov_datastore', 'datastore', 'xloader', 'harvest', 'ckan_harvester', 'datajson', 'dcat', 'dcat_rdf_harvester', 'dcat_json_harvester', 'dcat_json_interface', 'structured_data', 'opengov_harvester', 'contact', 'opengov_pages', 'pages', 'opengov_stories', 'showcase', 'theme_configurator', 'oklahoma_theme', 'og_theme', 'security', 'opengov_auth', 'heroslideradmin', 'googleanalytics']",source,357,source_url,462,source_url,15,source_url,2019-05-20 14:01:16.322543,2023-06-23 15:46:15.934958,source_url
datashades.info,http://datos.santander.es,datos.santander.es,http://datos.santander.es,Datos Abiertos Santander | ,WordPress 4.5.15,200,,,,,,,,,,,,,,,
datashades.info,http://geodm.gr,geodm.gr,http://geodm.gr,Connection Error,,200,,,,,,,,,,,,,,,
datashades.info,https://gifu-opendata.pref.gifu.lg.jp,gifu-opendata.pref.gifu.lg.jp,https://gifu-opendata.pref.gifu.lg.jp,ようこそ - 岐阜県オープンデータカタログサイト,,200,https://gifu-opendata.pref.gifu.lg.jp,岐阜県オープンデータカタログサイト,2.8.5,ja,"['bodik_theme', 'stats', 'pdf_view', 'text_view', 'image_view', 'webpage_view', 'recline_view', 'recline_map_view', 'linechart', 'barchart', 'piechart', 'basicgrid', 'datastore', 'datapusher', 'viewhelpers', 'dashboard_preview', 'harvest', 'ckan_harvester', 'dcat', 'dcat_rdf_harvester', 'dcat_json_harvester', 'dcat_json_interface', 'structured_data', 'googleanalytics']",source,1251,source_url,15,source_url,66,source_url,2019-01-10 02:40:15.491840,2023-07-04 23:19:56.739044,source_url
datashades.info,https://gisdata.mn.gov,gisdata.mn.gov,https://gisdata.mn.gov,Welcome - Minnesota Geospatial Commons,,200,https://gisdata.mn.gov,Minnesota Geospatial Commons,2.8.4,en_US,"['stats', 'text_view', 'image_view', 'recline_view', 'spatial_metadata', 'spatial_query', 'geo_view', 'resource_proxy', 'harvest', 'ckan_harvester', 'dcat', 'dcat_rdf_harvester', 'dcat_json_harvester', 'dcat_json_interface', 'structured_data', 'geodatamn']",source,1027,source_url,2342,source_url,46,source_url,2014-06-25 21:28:49.489131,2023-07-06 08:07:53.029263,source_url
